current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Systems Engineer,Tata Consultancy Services,4.0,"Node.js, HTML, React.js, Manual Testing, Jest case, SQL, Java, JavaScript, Cascading Style Sheets (CSS), HTML5",Internship- Java Full Stack Development,"Jspiders, Bangalore",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer Trainee,Hyniva,1.8,"React Native, Programming Foundations with Python , HTML,  CSS  , Bootstrap (Framework),  JavaScript  , GitHub  , Node JS  , React JS  , MongoDB, HTML5, css3, Next.js, SQLite, Mean Stack, Full-Stack Development, Java, JSON, Postman API, Redux.js, TypeScript, Git, React.js, Node.js, GitHub, commend line, SQL, Cascading Style Sheets (CSS), Responsive Web Design using Flexbox, JavaScript Essentials, JavaScript, Java Development, Web Development, Python (Programming Language), Training, Analytical Skills, Education, Problem Solving, Project Management, Communication, Engineering",Master of Computer Applications - MCA,"Dravidian University, Kuppam, Chittoor District","CCBP Intensive Certificate, React JS, Node JS, Developer Foundations, Introduction to Databases, Responsive Web Design using Flexbox, Build Your Own Dynamic Web Application, JavaScript Essentials, Programming Foundations with Python, Build Your Own Static Website",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Accenture,6.1,"React.js, SASS, JavaScript, Front-end Development, Bootstrap, Python, Django, Cascading Style Sheets (CSS), HTML5, jQuery, AngularJS, TypeScript",bachelors in computer applications,MES College of Arts and Commerce,"Cloud Digital Leader Certification, Cutshort Certified React.js - Basic",Bengaluru,Karnataka,India,frontendFinal
Member Of Technical Staff - 1 ,AntStack,2.4,"Gen ai, Amazon Web Services (AWS), Astro, Next.js, TypeScript, aws fargate, Amazon Elastic Container Registry (ECR), Amazon EKS, Amazon EC2, DevOps, Linux System Administration, Kubernetes, User Experience (UX), User Interface Design, Server Side, Java, jQuery, MERN Stack, Object-Oriented Programming (OOP), Problem Solving, C++, API Development, SASS, Version Control, Communication, HTML ,  React.js, Git,  CSS ,  Front-end Development , Docker, Jenkins, Containerization, Continuous Integration and Continuous Delivery (CI/CD), Oracle Cloud, Linux, Full-Stack Development, Critical Thinking, React Router, Ant Design, Web Design, Node.js, Programming, jsx, Collaborative Problem Solving, Front-End Development, Application Programming Interfaces (API), Web Development, MongoDB, React.js, JavaScript, Microsoft PowerPoint",Bachelor of Engineering - BE,Sahyadri College of Engineering & Management,"AWS Certified Cloud Practitioner, Oracle Cloud Infrastructure 2023 Certified DevOps Professional, Front-End Software Engineering Virtual Experience Programme, Introduction to Linux, Introduction to DevOps, Oracle certified Foundations Associate",Bengaluru,Karnataka,India,frontendFinal
Campus Ambassador,"E-Cell, IIT Bombay",4.8,"IT Management Software, IT Management, Volunteering, Social Media, Leadership, Social Media Marketing, Community Outreach, Communication, Python (Programming Language), Css, Web Pages, Computer Science, Social Work, Waterfall Project Management, Software Development Life Cycle (SDLC), Microsoft PowerPoint, Microsoft Word, Typing, Continuous Improvement, Teamwork, Web Design, Software Development, Core Java, Cascading Style Sheets (CSS), HTML, Management",BSC,Shree L. R. Tiwari College of Engineering.,,Bengaluru,Karnataka,India,frontendFinal
,,,"HTML5, Cascading Style Sheets (CSS), JavaScript, React.js, Git, Databases, SQL, Tailwind CSS",Bachelor of Technology - BTech,Kolhan University Chaibasa,,Bengaluru,Karnataka,India,frontendFinal
Senior software engineer ,i-exceed ,2.8,"Interpersonal Skills, Team Leadership, Time Management, Problem Solving, Client Relations, Customer Satisfaction, Communication, Web Application Development, Front-end Coding, User Interface Design, User Experience (UX), JSON, Agile Methodologies, Object-Oriented Programming (OOP), Responsive Web Design, Scrum, RESTful WebServices, Front-End Development, Computer Science, Web Development, Software Development, HTML, Web Applications, Rest full WebServices, REST APIs, Redux.js, MySQL, GitHub, react materalui, jQuery, Visual Studio, ClickUp, Bootstrap, Cascading Style Sheets (CSS), HTML5, Git, React.js, JavaScript",Bachelor of Science - BS,Tumkur University,NCC 'C' Certificate ,,Karnataka,India,frontendFinal
Senior Engineer,Quest Global,4.0,"TypeScript, Next Js, JavaScript, React.js, HTML, Cascading Style Sheets (CSS), Bootstrap, Tailwind CSS, Git, GitHub",Bca,Mangalore University,,Bengaluru,Karnataka,India,frontendFinal
Senior Engineer l,Neewee,3.6,"Version Control, Integration Testing, Communication, Problem Solving, Hibernate, Responsive Web Design, User Interface Design, Angular, Front-End Development, AngularJS, HTML, JavaScript, Java, Bootstrap, Play Framework, TypeScript, SQL",Bachelor of Engineering - BE,Malnad College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Graduate Engineering Trainee,Digit Insurance,1.2,"Leadership, Data Analysis, Problem Solving, Soft Skills",Bachelor of Engineering - BE,Presidency University Bangalore,MATLAB Certified,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,CGI,6.1,"Spring Boot, DevOps, Unit Testing, SASS, Scss, NgRx, Git, Agile Project Management, Angular CLI, Digital Marketing, Mean Stack, Angular , Full-Stack Development, Npm, Node.js, Front-End Development, jQuery, Manual Testing, Java, JavaScript, TypeScript, Flutter, Bootstrap, HTML5, Cascading Style Sheets (CSS), Amazon Web Services (AWS)",Bachelor of Technology,KLS Vishwanatharao deshpande rural institute of technology haliyal,"Aws Cloud Essentials Practitioner, Digital Marketing Foundations, The fundamentals of digital marketing , Agile, Flutter and dart- The complete guide , Angular - The complete guide 2022",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,AR business solutions pvt.ltd,0.2,"Linux, Problem Solving, HTML5, Cascading Style Sheets (CSS), Software Development Life Cycle (SDLC), Front-End Development, Bootstrap (Framework), Java, SQL",Bachelor of Technology - BTech,Oriental Institute of Science & Technology,"Training and internship , Digital 101",Bengaluru,Karnataka,India,frontendFinal
Consultant,KPMG India,4.9,".NET Framework, C#, NgRx, Spring Boot, Spring MVC, RxJS, REST APIs, JavaScript, Angular, TypeScript, Java, PL/SQL, Python (Programming Language), Bootstrap (Framework), Microsoft Excel, Object-Oriented Programming (OOP), Web Applications, Oracle Database, SQL, Algorithms, Cascading Style Sheets (CSS), Data Structures, HTML",BTech - Bachelor of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal formerly WBUT",PROGRAMMING IN JAVA,Bengaluru,Karnataka,India,frontendFinal
Operations Executive,SREE EXIM SOLUTIONS,2.6,"Creativity and Innovation, GitHub, Optimizing Performance, Thinking Skills, Data Storage, Soft Skills, Third-Party Billing, Continuous Improvement, Analytical Skills, Trade Compliance, Customs Clearance, Customer Experience, Records Management, Operational Efficiency, Mobile Applications, Import Export, Web Technologies, REST APIs, MUI 5, E-Commerce, Redux.js, React Hooks, Teamwork, React.js, JavaScript, Python , Django , JSON, Document Object Model (DOM), MySQL, HTML5, Cascading Style Sheets (CSS), Bootstrap, Responsive Web Design, Git, Problem Solving, Front-End Development, Web Development, Full-Stack Development",Bachelor of Engineering,"Park College of Technology, Coimbatore",,Bengaluru,Karnataka,India,frontendFinal
Member of Technical Staff - 2,AntStack,3.7,"Amazon Web Services (AWS), Next.js, React.js, TypeScript, SCSS, Apollo GraphQL, Cascading Style Sheets (CSS), React, JavaScript, HTML5, Flutter, Docker, Github, Git, jQuery, Node.js, MongoDB, Express.js",BE - Bachelor of Engineering,Canara Engineering College,"AWS Certified Cloud Practitioner, BASICS OF DOCKER, Build a Machine Learning Web App with Streamlit and Python, React (Basic) Certificate",,Karnataka,India,frontendFinal
Software Engineer,Housing.com,5.8,"Object-Oriented Programming (OOP), React.js, JavaScript, Next.js, Tailwind CSS, Git, C++, C (Programming Language), Communication, English, Problem Solving, Engineering, HTML5, Cascading Style Sheets (CSS), Bootstrap",Bachelor of Technology - BTech,GL Bajaj Institute of Technology and Management,"Triplebyte Certified,  Internship, Certified Speaking Professional (CSP), Google Cloud Program, Hackerrank , TCS iON CAREER EDGE",Bengaluru,Karnataka,India,frontendFinal
Engineer - HLSBU,Tata Elxsi,3.7,"React.js, AngularJS, Tailwind CSS, Node.js, JavaScript, Redux.js, Git, Unit Testing, SQL, MySQL, Next.js, Microsoft Excel, Wix Website Builder, WiX Toolset, Wix, HTML, Cascading Style Sheets (CSS), Communication, Leadership, Teamwork, Engineering, Hindi, Kannada, Microsoft Azure",Bachelor of Engineering - BE,Sahyadri College of Engineering & Management,"React - The Complete Guide 2024(incl. Next.js, Redux), Beginning SQL server, Introduction to Relational Database and SQL",,Karnataka,India,frontendFinal
Frontend Developer,MyCLNQ Health,0.7,"Object-Oriented Programming (OOP), Python (Programming Language), Machine Learning, HTML5, CSS3, Debugging, Scrum, Bitbucket, Jira, GitHub, Git, PostgreSQL, SQL, Express.js, Node.js, Material-UI, jQuery, Bootstrap (Framework), React.js, JavaScript, Cascading Style Sheets (CSS), HTML",Bachelor of Technology - B-Tech,Shri Shankaracharya Technical Campus,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Incrust Software,3.8,"React.js, Tailwind CSS, Computer Science, E-Commerce, Front-End Development, Git, Model-View-Controller (MVC), AngularJS, Design Patterns, PHP, Magento, Linux, Angular, JavaScript, MySQL, HTML, Wordpress Developer, Data Structures, Operating Systems, C (Programming Language), Worked in AWS Cloud Computing , Cloud Computing, Python (Programming Language), HTML5, Cascading Style Sheets (CSS), Bootstrap",Bachelor of Technology,Roorkee College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Developer,Fastrack Technology,5.8,"Microsoft Azure, RESTful WebServices, Figma (Software), Ant Design, Linux, HTML, REST APIs, JavaScript eXtension (JSX), JSON Web Token (JWT), Document Object Model (DOM), Babel.js, Unit Testing, Gitlab, Computer Science, Jest, Hooks, React.ts, Full-Stack Development, Git, ECMAScript, Tailwind CSS, Front-End Development, Software Development, React Hooks, Postman API, Material-UI, Microsoft Office, Redux.js, JSON, Cascading Style Sheets (CSS), HTML5, Express.js, Client Side, TypeScript, Debugging, Back-End Web Development, JavaScript, Node.js, React.js",,,,Bengaluru,Karnataka,India,frontendFinal
Senior Technical Lead,HCLTech,9.2,"Context api, Jira, Agile Methodologies, GitHub, Amazon Web Services (AWS), Jest, Unit Testing, Debugging, BrowserStack, Cucumber, JFrog Software, Selenium WebDriver, TypeScript, salesforce, Veeva Vault, Veeva CRM, Chart, Front-End Development, jQuery UI, jQuery Mobile, JavaScript, jQuery, RESTful WebServices, PHP, MySQL, HTML5, Photoshop, Bootstrap, wordpress, JSON, AJAX, SCSS, CSS3, Redux, Responsiveness, WebSocket, Node.js, React.js",B-Tech,"Barrister Ranjit Mohanty International Institute of Technology (BRMIIT), Bhubaneswar",,Bengaluru,Karnataka,India,frontendFinal
Managing Executive,Platfware.,6.7,"Management, Team Management, Digital Marketing, Team Leadership, PHP, Java, React.js, Cascading Style Sheets (CSS), HTML",Bachelor of Technology - BTech,Knowledge Institute of Technology (KIOT),Data Analysis with Python,Salem,Tamil Nadu,India,frontendFinal
,,,"Java Database Connectivity (JDBC), Object-Oriented Programming (OOP), HTML5, Responsive Web Design, Core Java, Tailwind CSS, JavaScript, Bootstrap (Framework), Cascading Style Sheets (CSS), HTML, SQL, Java, Front-End Development",Full stack developer ,Jspiders,Web Development Bootcamp ,Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Engineer (SDE-2),Publicis Sapient,4.5,"Front-End Development, Responsive Web Design, Code Review, Firebase, React js, Redux, React Router, Bootstrap, REST APIs, C++, HTML5, JavaScript, Cascading Style Sheets (CSS), React.js",B. Tech,Dr. A.P.J. Abdul Kalam Technical University,"Javascript, React js",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Axis Bank,5.6,"Express.js, Front-End Development, Next.js, PostgreSQL, Web Development, Android Studio, HTML, Java, Core Java, React.js, Bootstrap, Cascading Style Sheets (CSS), JavaScript, AngularJS, css, HTML5, React Native, React Hooks, Node.js, Redux.js, MongoDB, Software Development, Front-end Development, Node, React , redux",BE - Bachelor of Engineering,"East Point College of Engineering & Technology, Bangalore",,Bengaluru,Karnataka,India,frontendFinal
Frontend Web Developer,Torqbit,1.5,"Cascading Style Sheets (CSS), HTML, JavaScript, Next.js, React.js, TypeScript, SQL, Python (Programming Language)",,,,Bengaluru,Karnataka,India,frontendFinal
Frontend Engineer,Spontact Global Private Limited,4.8,"React.js, JavaScript, Front-End Development, Redux.js, HTML, REST API Integration, Single Page Applications (SPA), Material-UI, Cross-Browser Testing, Lazy Loading, Agile / Scrum, Performance Optimization, Responsive Web Design, Node.js, jQuery, HTML5, Development Tools, Core Java, Bootstrap, SQL, Angular, Programming, Oracle SQL Developer, MySQL, C++, C (Programming Language), Java, Cascading Style Sheets (CSS), People Management, Analytical Reasoning",Master of Business Administration - MBA,"Barkatullah University, Bhopal",PCB designing,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,RentoMojo,2.9,"Secure Authentication, JSON Web Token (JWT), Scss, NextJS, JavaScript, React.js, Redux.js, Data Structures, Algorithms, C++, Redux Thunk, Firebase, Tailwind CSS, Material-UI, HTML5, Vanilla JavaScript, Bootstrap 5, Machine Learning, MATLAB, Communication, Node.js, C (Programming Language), LaTeX, SQL, Git, Problem Solving, Object-Oriented Programming (OOP), Leadership, Teamwork, Microsoft PowerPoint, Python (Programming Language), Doubt Expert, HTML, Cascading Style Sheets (CSS)",Bachelor of Technology - BTech,Institute of Infrastructure Technology Research and Management (IITRAM),"Problem Solving (Basic), Python(Basic), Basic Principles of Remote Sensing Technology",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Euphoric Thought Technologies,3.6,"Next.js, Firebase, ES6, TypeScript, Payment Gateways, Web Services API, Web Development, SQL, MongoDB, Redux Thunk, Node.js, Bootstrap, Tailwind CSS, React.js, JavaScript, Front-end Development, HTML5, Cascading Style Sheets (CSS), Git, GitHub, JSON, CSS 3, HTML, Redux.js, Material-UI",Bachelor of Technology - BTech,"Accurate Institute of Management, Greater Noida. India","Programing for AutoCAD, Participation of Technofest, Programming for c/c++, Under inspire internship program, Participate (Smart India Hackathon)",Bengaluru,Karnataka,India,frontendFinal
Software Engineer III,Walmart Global Tech India,5.8,"Microfrontends, Nodejs, Front-End Development, Frontend, MERN Stack, MERN, MongoDB, Express.js, Node.js, SQL, HTML5, Systems Design, High-Level Design, Object-Oriented Programming (OOP), Design Patterns, Java, Operating Systems, Computer Networking, Databases, Algorithms, Data Structures, Redux.js, JSON, Next.js, SASS, Tailwind CSS, React.js, HTML, Cascading Style Sheets (CSS), JavaScript, WordPress, PHP, Python, jQuery, C++, TypeScript, AngularJS, Django, Git, Github, MySQL, Adobe Photoshop, Linux, Representational State Transfer (REST), RESTful WebServices",Bachelor of Engineering - BE,Rajiv Gandhi Prodyogiki Vishwavidyalaya,"Frontend Developer (React), Frontend (React), JavaScript Specialist Certification, MERN Stack, Data Structures and Algorithms, Databases and SQL, High Level Design, Java, Low Level Design, C (Basic) Certificate, C++ (Basic) Certificate, Problem Solving (Basic) Certificate, Python (Intermediate) Certificate, React (Basic) Certificate",Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer 2,ShareChat,5.0,"Redpanda, Cloud Development, Application Programming Interfaces (API), Message Queue, Google Cloud Platform (GCP), Node.js, Go (Programming Language), Kafka, Performance Testing, Full-Stack Development, Django, Python (Programming Language), Web Development, Front-end Development, Responsive Web Design, Data Structures, JavaScript, Reactjs, Flask, HTML5, jQuery, Git, GitHub, Bootstrap, Cascading Style Sheets (CSS), C (Programming Language), C++, HTML, Competitive Programming, Competitive coding, Front-end Design, Web Application Development, Bootstrap 5, React.js",B.Tech,Institute of Engineering and Technology,"Algorithmic Toolbox, Node-RED: basics to bots, Getting Started with Python, Python Data Structures, Using Python to Access Web Data, Front-End Web UI Frameworks and Tools: Bootstrap 4",Bengaluru,Karnataka,India,frontendFinal
Senior Package Consultant,IBM,9.9,"SAP, Adobe XD, Amazon Web Services (AWS), Cent os, WordPress, HTML Emails, PSD to HTML, PSD to Wordpress, jQuery, jQuery UI, jQuery Mobile, RESTful WebServices, HTML5, Tailwind CSS, SAP Implementation, Wordpress Development, Magento, TypeScript, NgRx, RxJS, HTML, Cascading Style Sheets (CSS), Bootstrap, Jquery, PSD to Html, UI/UX, jQuery Ui, PSD to React, PSD to Angular, Angular , Git, JavaScript, SASS, Responsive Web Design, Spartacus , React.js",Bachelor of Engineering - BE,MIET Engineering College,,Bengaluru,Karnataka,India,frontendFinal
Frontend Web Developer,Greet Labs Pvt. Ltd,2.9,"React.js, React Hooks, Redux, JavaScrit,   , GitHub, Bootstrap,React.js,html ,css, HTML5, Cascading Style Sheets (CSS), JavaScript, React.js, HTML, Redux, Redux Thunk",Master of computer application,"AJAY KUMAR GARG ENGINEERING COLLEGE, GHAZIABAD",,Bengaluru,Karnataka,India,frontendFinal
Lead Software Engineer,Accolite,5.6,"Programming, Oral Communication, Problem Solving, Computer Science, Communication, Front-end Engineering, User Experience (UX), Code Review, Responsive Web Design, JavaScript, Angular, Tableau, Bootstrap, Cascading Style Sheets (CSS), HTML5",Bachelor of Engineering - BE,Visvesvaraya Technological University,"Business Analyst, Data Processing Specialist, in English Comprehension, IT Academy: Cloud and Virtualization Concepts, IT Academy: Software Defined Storage Concepts, Introduction to Virtualization",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Zycus,4.7,"Cascading Style Sheets (CSS), Angular , Angular Material, Node.js, Microsoft Office, Microsoft Excel, Microsoft Word, Project Management, Microsoft PowerPoint, Public Speaking, Angular, Web Development, Python (Programming Language), HTML5, CSS, TypeScript, JavaScript, Java",Bachelor of Technology,Presidency University,Full Stack Development using Python,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Robosoft Technologies,12.3,"HTML5, ReactJS, TypeScript, Material-UI, Next.js, Tailwind CSS, LightningJS, React.js, JavaScript, Redux.js, Bootstrap",Bachelor of Engineering - BE,Siddaganga Institute Of Technology,"Frontend Developer (React) Certificate, FrontendExpert Certification by AlgoExpert, HackerRank Certified ReactJS(Basic), HackerRank JavaScript (Basic), HackerRank Javascript (intermediate), Cutshort Certified Javascript - Advanced",Bengaluru,Karnataka,India,frontendFinal
React Js,Tata Consultancy Services,12.1,"React.js, TCS Chroma™, UKG Ready , Front-End Development, Amazon S3, Financial Accounting, AJAX, JSON, JavaScript Libraries, Git BASH, Express.js, Docker, Mongoose OS, MongoDB, AWS Lambda, Amazon EC2, AngularJS, Angular Material, Angular CLI, Angular, Node.js, GitHub, Git, Gitlab, Confluence, Jira, Amazon Web Services (AWS), JavaScript",Master of Computer Applications - MCA,"Rajasthan Technical University (RTU), Kota","AWS Certified Solutions Architect – Associate, AWS Certified Solutions Architect – Associate, React js",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Uber,16.4,"Web Development, React.js, Node.js, React Native, iOS Development, Project Management, database management, Android Development, React Hooks, JavaScript, MySQL, Redux.js, GraphQL, TypeScript",BTech,Dr. A.P.J. Abdul Kalam Technical University,How to Manage Feeling Overwhelmed,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Tesco,12.7,"JavaScript, React.js, HTML, HTML5, Cascading Style Sheets (CSS), UI, redux, Git, Tailwind CSS, Front-End Development, ECMAScript, Bootstrap, Webpack, Responsive Web Design, AngularJS, C#, C, C++",Bachelor's degree,"S J B Institute of Technology, BANGALORE",WordPress Essential Training,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Aiseberg,3.7,"REST APIs, JavaScript Libraries, HTML, HTML5, User Interface Design, JavaScript, Leadership, Team Leadership, TypeScript, Computer Engineering, System Architecture, System Performance, Version Control, Integration Testing, Web Pages, Search Engine Optimization (SEO), Nuxt, Dashboards, Engineering, MongoDB, Node.js, Tailwind CSS, pinia, SASS, Vue.js, scss, Cloud Firestore, Store Management, styled-components, Firebase, Cascading Style Sheets (CSS), Redux.js, React.js, Front-End Development",Bachelor of Arts - BA,Delhi University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,JPMorgan Chase & Co.,9.0,"Technical Design, Responsiveness, IT Accessibility, Coding Standards, Technical Documentation, English, Code Review, Business Logic, Code Coverage, Web Technologies, Fundamentals, CORs, Cross-browser Compatibility, formly, ag grid, Angular Material, Jira, Requirements Analysis, Software Development Life Cycle (SDLC), Web Application Security, JSON, Teamwork, Leadership, Programming, Front-End Development, NgRx, User Interface Design, Angular CLI, Jenkins, Node.js, Agile Application Development, SCSS, Communication, User Experience (UX), Business Requirements, Document Object Model (DOM), Intuitiveness, JavaScript Object Model (JSOM), Soft Skills, Technical Requirements, Responsive Web Design, Web Development, Web Content Accessibility Guidelines (WCAG), Problem Solving, Debugging, Git, Unit Testing, Scss, JavaScript Libraries, Jasmine Framework, Karma, redux, RxJS, Software Development, HTML5, Angular, Angular 11, TypeScript, JavaScript, HTML, Cascading Style Sheets (CSS), Bootstrap, Bitbucket, Agile Methodologies",Bachelor's degree,Future Institute Of Engineering and Management,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,BlinkRx,4.4,"Next.js, New Relic, Databases, Python (Programming Language), React.js, Cross-browser Compatibility, Communication, Document Object Model (DOM), Debugging, Web Applications, Coding Standards, Application Programming Interfaces (API), Representational State Transfer (REST), REST APIs, Figma (Software), AJAX, Problem Solving, Web Development, JavaScript, Engineering, C++, Cascading Style Sheets (CSS), HTML, Git, Bootstrap, Vue.js, TypeScript",Bachelor of Technology - BTech,UPES,,Bengaluru,Karnataka,India,frontendFinal
Lead SFCC front-end Developer,Perfaware,11.5,"headless, Salesforce Commerce Cloud (SFCC), B2C e-commerce, JavaScript, Node.js, Backbone.js, User Interface, React.js, Redux, webpack, jQuery, HTML5, Bootstrap, CSS, Cascading Style Sheets (CSS), Require.js, CSS3, Grunt.js, Gulp.js, TypeScript, SASS / LESS, Handlebars.js, ECMAScropt 6",B.Sc in Web and Multimedia,Annamalai University,"Accessibility Fundamentals - Disabilities, Guidelines, and Laws, Web Accessibility Testing: Screen Readers",Bengaluru,Karnataka,India,frontendFinal
Software Engineering-Engineer I,FICO,4.8,"TypeScript, Continuous Integration and Continuous Delivery (CI/CD), Kubernetes, docker, Jenkins, AngularJS, Algorithms, C++, Java, MySQL, JavaScript, Data Structures, SQL, HTML, Cascading Style Sheets (CSS), Python (Programming Language), Database Management System (DBMS), Amazon Web Services (AWS)",Master of Computer Applications - MCA,Maulana Azad National Institute of Technology,"Programming with JavaScript, Version Control, Introduction to Front-End Development, JavaScript, C++ Programming, Data Structure, Problem solving (Basic)",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,CK-12 Foundation,12.1,"React.js, JavaScript, React , Redux, Front-end Development, SCSS, HTML, Cascading Style Sheets (CSS), React Native, Bootstrap, AngularJS, jQuery, Git, AJAX, Adobe Photoshop, Matlab",Bachelor of Technology - BTech,Jaypee University of Information Technology,,Bengaluru,Karnataka,India,frontendFinal
Web Developer,Bradken,3.2,"Tailwind CSS, Microsoft Azure, Azure SQL, Contentful, DevOps, DSA, OOPS, MVC, Strapi, Nextjs, Vue.js, Microservices, Representational State Transfer (REST), Cross-browser Compatibility, Programming, REST APIs, Amazon Web Services (AWS), Gitlab, Webpack, Responsive Web Design, Google Analytics, Search Engine Optimization (SEO), Angular, JavaScript Frameworks, Bootstrap, TypeScript, JSON, Object-Oriented Programming (OOP), Microsoft Office, Oral Communication, English, Software Development, C (Programming Language), User Interface Design, Next.js, Redux.js, Spring Boot, SQL, Git, Node.js, SASS, AngularJS, User Experience (UX), UI/UX, Webflow, MySQL, Front-End Development, HTML, Python (Programming Language), Front-end Development, Technical Writing, JavaScript, Java, Cascading Style Sheets (CSS), HTML5, React.js, Adobe Premiere Pro, MongoDB, Communication, Team Leadership",Advanced Certificate Program,Great Learning," Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL), Node.js Certification (Intermediate), Web Development (MERN), Microsoft Advertising Search Certification, Data Structures in Python, Microsoft Advertising Certified Professional, Cloud Computing and Big Data, Essential Program in Flask API, Essentials in Python Programing, Machine Learning using Python, Python Certification, Volunteer for Campus Placement Preparation Program, Development of an AI Dental MVP, Social Media Marketing Intern, Big Data Computing, Web Development Internship, Elements of AI, Learn Adobe Flash from Scratch for Beginners, Learn Adobe InDesign from Scratch, Learn Designing using Adobe Photoshop from Scratch, Projects in Django, Technical Support Fundamentals, Blockchain Developer Internship, Introduction to C# Programming and Unity, Introduction to HTML5, Bitcoin and Blockchain, Introduction to Data Science in Python, Build a Face Recognition App using Python, Database Management Systems, Programming in Java, Webflow 101 Certification, Build a Face Recognition Application using Python",Bengaluru,Karnataka,India,frontendFinal
Software Engineer ,Skit.ai,3.2,"TypeScript, Canvas API, Pega, System Architect, React.js, Next.js, Web Design, Bootstrap (Framework), Full-Stack Development, Software Development, Golang, Node.js, SQL, Git, JavaScript, Python (Programming Language), Django, C++, C (Programming Language), Problem Solving",Bachelor of Technology - BTech,Jawaharlal Nehru Technological University,Certified Pega System Architect,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Myntra,4.7,"CSS3, Redux Toolkit, monolith, micro frontend, Systems Design, Optimization Techniques, Optimization, Code Design, Middleware, Multer, Skill Development, Agile Development, Next.js, React Hooks, Responsive Web Design, Representational State Transfer (REST), Continuous Integration and Continuous Delivery (CI/CD), CI, HTML5, Software Development, MySQL, Front-End Development, Redux.js, Application Programming Interfaces (API), GraphQL, Mocha (JavaScript Framework), Selenium WebDriver, Cucumber, Appium, Database Management System (DBMS), Computer Networking, Operating Systems, Object-Oriented Programming (OOP), TypeScript, JavaScript, Dart, Flutter, C++, C (Programming Language), Java, Python (Programming Language), Machine Learning, Android Development, PHP, Cascading Style Sheets (CSS), HTML, Problem Solving, Algorithms, Android, GitHub, Data Structures, Git, Express.js, Node.js, React.js, Android Studio, Android SDK, SQL, Web Development",Bachelor of Engineering - BE,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,"AWS Fundamentals: Going Cloud-Native, HTML, CSS, & JavaScript - Certification Course for Beginners, Introduction to Git and GitHub, Mastering Data Structures and Algorithms using C and C++, Google Cloud Architect Badges",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Upwork,4.0,"Java, Systems Design, Business Development, Fundraising, Training,  Technical Support , Communication, Account Management, Password Management, Help Desk Support, SASS, Object-Oriented Programming (OOP), Web Design, HTML, Web Development, Front-End Development, React.js, TypeScript, Microsoft Visual Studio Code, HTML5, Cascading Style Sheets (CSS), JavaScript, Travel Photography, Black & White Photography, Photo Shoots, Amazon Web Services (AWS), Network Engineering, Python (Programming Language), Linux, Network Administration, Network Switches, Technical Support, Amazon S3, VLAN, Switching, Computer Networking, Routing, Open Shortest Path First (OSPF), Networking, English, Git, Kali Linux",Master of Computer Applications - MCA,Manipal University Jaipur,"Version Control, Cisco Certified Network Associate (CCNA), AWS Certified Solutions Architect – Associate, AWS Certified Cloud Practitioner",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Coddle Technologies Pvt. Ltd.,3.0,"Next.js, Flutter, React Native, React Hooks, Software Development, Back-End Web Development, Express.js, MongoDB, Full-Stack Development, MERN Stack, JavaScript eXtension (JSX), Webpack, Search Engine Optimization (SEO), REST APIs, Communication, Hooks, Responsive Web Design, GitHub, Web Applications, JavaScript Frameworks, Application Programming Interfaces (API), jQuery, Redux.js, Bootstrap, Node.js, Website Building, SASS, Git, Problem Solving, HTML, HTML5, Cascading Style Sheets (CSS), JavaScript, React.js, Front-End Development",Bachelor of Technology - BTech,APJ Abdul Kalam Technological University,,Bengaluru,Karnataka,India,frontendFinal
